island,svl,head_length,head_width,head_depth,bicep_length,forearm_length,hand_finger_length,femur_length,tibia_length,toe
naxos1,63.34,17.24,9.45,7.81,6.46,7.39,8.1,12.74,10.5,16.72
naxos2,55.82,15.88,8.22,6.09,5.84,5.84,7.35,11.95,10.02,16.7
naxos3,65.89,18.12,10.1,7.62,7.02,7.11,8.26,14.24,11.7,17.7
naxos4,58.63,16.35,8.43,6.87,6.84,6.86,7.13,12.39,10.87,16.14
naxos5,63.54,17.3,9.49,7.92,6.55,6.58,8,12.79,10.64,16.83
naxos6,64.69,15.54,8.12,6.66,6.91,6.76,7.98,9.88,10.16,15.59
naxos7,65.75,17.97,9.09,7.64,6.9,7.34,8.52,14.5,11.11,17.96
naxos8,66.87,15.87,8.22,7.16,6.12,5.98,7.21,10.62,8.91,14.97
naxos9,63.48,15.07,7.83,6.55,5.94,6.11,7.22,10.36,9.83,14.47
naxos10,64.99,17.39,9.45,7.55,6.53,6.81,8.25,13.35,10.15,17.39
naxos11,63.88,17.98,9.98,7.4,7.16,7.46,8.59,13.65,11.5,17.46
naxos12,65.61,17.4,9.95,7.67,6.61,6.8,8.04,14.77,11.3,16.86
naxos13,64.88,15.9,8,6.39,6.89,6.29,7.3,12.3,9.6,15.1
naxos14,62.03,15.41,7.33,6.21,5.88,5.99,7.19,10.65,9.1,14.75
naxos15,65.89,14.88,7.56,6.53,5.92,6,7.02,11.26,10.16,13.68
naxos16,62.03,17.59,8.95,7.97,6.33,6.93,8,13.41,10.68,17.17
naxos17,57.79,16.3,8.45,6.98,6.88,6.53,7.21,12.45,10.96,16.28
naxos18,57.8,14.1,7.45,6.5,5.87,6.11,7.29,10.79,9.57,14.99
naxos19,64.07,17.2,8.92,7.75,7.35,7.44,7.82,14.72,11.11,17.28
naxos20,62.43,17.98,10.55,8.67,7.21,7.49,8.17,14.21,11.47,16.99
naxos21,60.86,16.33,9.8,7.79,6.99,7.39,8.34,13.74,10.83,17.63
naxos22,66.36,17.55,9.78,7.79,7.63,7.59,7.96,13.53,11.11,17.4
naxos23,62.43,17.23,9.44,8.2,7.96,7.5,8.32,13.5,11.35,17.7
naxos24,61.57,16.7,10.17,8.23,6.42,7.05,8.26,13.64,11.07,16.79
naxos25,67.15,14.63,7.7,6.43,6.71,6.11,7.33,10.51,9.57,14.28
naxos26,62.3,18.13,9.5,7.7,6.52,7.14,8.46,14.57,12,17.17
naxos27,54.31,14.64,7.64,6.49,6.02,6.57,7.45,10.64,9.67,15.33
naxos28,61.06,15.07,8,6.62,5.45,5.48,7.6,11.47,9.05,14.7
naxos29,62.07,18.07,10.12,8.22,6.9,7.09,7.83,14.81,11.19,18.08
naxos30,52.19,14.63,7.9,6.8,5.75,5.77,7.32,11.81,10.33,14.92
naxos31,67.1,17.88,10.15,8.53,7.01,7.69,9.01,15.43,12.4,17.8
naxos32,64.83,15.17,7.77,6.66,6.35,6.32,6.8,13.95,9.71,14.37
naxos33,63.31,17.54,9.46,7.93,6.61,7.14,8.13,14.41,11.4,16.33
naxos34,69.13,15.59,7.46,6.36,6.3,6.39,7.43,11.83,10.05,14.43
naxos35,66.1,17.68,9.04,7.84,7.09,7.14,8.44,15.5,12.12,18.28
naxos36,60.73,16.54,8.38,9.33,7.85,6.49,6.96,7.96,13.22,7.63
naxos37,52.54,14.11,7.06,5.78,5.5,6.11,7.13,11.11,8.86,15.16
naxos38,64.05,18.15,10.08,8.09,7.03,7.46,8.52,14.58,12.68,17.89
naxos39,59.18,14.03,7.24,6.07,5.17,5.8,7.01,11.69,9.53,13.83
naxos40,67.07,18.15,9.78,8.15,8.28,7.92,8.18,14,12.07,18.3
naxos41,59.55,15.36,7.84,6.97,6.54,6.5,8.48,13.58,10.69,16.53
naxos42,72.26,19.72,10.3,8.83,7.2,7.28,9.23,14.73,12.82,18.44
naxos43,64.81,18.08,9.73,8.2,7.25,7.47,9.06,12.97,11.97,17.76
naxos44,65.49,15.43,7.82,6.94,6.64,6.43,7.1,12.36,10.41,15.8
naxos45,66.13,15.22,8.66,6.59,6.38,6.26,7.48,11.44,9.81,14.72
naxos46,65.69,17.7,9.68,8.39,7.2,7.38,8.95,15.1,11.5,18.49
naxos47,66.47,18.64,9.84,8.45,7.22,7.62,9.42,15.23,11.36,18.27
naxos48,63.9,17.36,10.1,8.58,7.29,7.66,9.05,13.54,11.17,17.23
naxos49,68.5,18.6,9.71,7.72,6.95,7.54,9.16,13.97,11.64,17.95
naxos50,69.13,18.49,9.96,8.47,7.21,7.68,8.47,14.54,11.53,16.98
naxos51,68,18.33,10.73,7.58,7.63,7.26,7.88,14.17,11.69,17.52
naxos52,64.63,17.78,9.79,8.35,7,7.58,8.19,14.71,11.4,17.41
naxos53,70.2,18.65,8.94,7.63,7.33,7.35,8.99,15.29,11.95,18.56
naxos54,62.01,17.1,9.11,7.84,7.75,7.5,8.3,13.76,11.23,18.15
naxos55,59.31,14.21,7.08,5.64,5.72,6.16,7.64,12.4,9.75,14.85
naxos56,62.45,15.5,8.03,6.9,6.15,6.17,7.7,13.14,9.72,16.11
naxos57,58.92,13.69,7,5.46,5.7,5.69,6.87,10.04,8.51,13.64
naxos58,70.57,17.46,8.99,7.56,6.28,6.49,7.14,12.39,10.66,16.53
naxos59,71.83,17.66,9.84,8.18,6.26,7.52,8.57,14.5,11.55,17.34
naxos60,52.01,13.07,6.56,5.9,5.55,5.5,7.03,10.05,8.84,13.85
naxos61,64.16,17.18,9.46,7.53,7.68,7.57,8.07,14.15,10.72,16.61
naxos62,62.26,15.39,6.29,5.36,6,7.4,6.89,10.91,9.04,14.1
naxos63,67.7,15.06,7.46,5.97,5.47,5.97,6.94,12.31,9.58,14.66
naxos64,69.6,16.75,8.44,6.5,6.44,5.81,6.4,12.14,10.17,15.06
naxos65,65.48,17.6,9.39,6.81,6.61,6.45,8.25,14.6,11.41,14.61
naxos66,56.4,13.85,7.36,5.89,5.06,5.29,6.72,9.99,8.59,14.38
naxos67,61.04,14.14,7.25,6.35,5.62,5.65,6.5,10.16,8.93,13.02
