island,sex,morph
naxos1,m,o
naxos2,m,w
naxos3,m,y
naxos4,m,y
naxos5,m,o
naxos6,f,w
naxos7,m,o
naxos8,f,y
naxos9,f,w
naxos10,m,o
naxos11,m,y
naxos12,m,o
naxos13,f,o
naxos14,f,w
naxos15,f,w
naxos16,m,w
naxos17,m,w
naxos18,f,y
naxos19,m,y
naxos20,m,y
naxos21,m,o
naxos22,m,y
naxos23,m,o
naxos24,m,w
naxos25,f,w
naxos26,m,o
naxos27,m,w
naxos28,m,w
naxos29,m,o
naxos30,m,w
naxos31,m,o
naxos32,f,o
naxos33,m,o
naxos34,f,o
naxos35,m,w
naxos36,m,w
naxos37,m,w
naxos38,m,w
naxos39,f,w
naxos40,m,o
naxos41,m,w
naxos42,m,o
naxos43,m,w
naxos44,f,w
naxos45,f,w
naxos46,m,y
naxos47,m,y
naxos48,m,o
naxos49,m,w
naxos50,m,o
naxos51,m,w
naxos52,m,o
naxos53,m,o
naxos54,m,o
naxos55,f,y
naxos56,m,w
naxos57,f,w
naxos58,m,o
naxos59,m,o
naxos60,f,y
naxos61,m,y
naxos62,f,y
naxos63,f,o
naxos64,f,w
naxos65,m,y
naxos66,f,w
naxos67,f,y
naxos68,m,y
naxos69,f,w
naxos70,m,o
naxos71,f,y
naxos72,m,o
naxos73,f,y
naxos74,f,w
naxos75,f,y
naxos76,f,w
naxos77,m,o
naxos78,f,y
naxos79,f,o
naxos80,m,y
naxos81,f,y
naxos82,m,o
naxos83,m,w
naxos84,m,w
naxos85,m,o
naxos86,m,w
naxos87,m,o
naxos88,m,o
naxos89,f,y
naxos90,m,y
naxos91,m,o
naxos92,m,w
naxos93,f,w
naxos94,m,y
naxos95,f,y
naxos96,m,y
naxos97,m,o
naxos98,f,w
naxos99,m,w
naxos100,m,w
naxos101,m,y
naxos102,m,w
naxos103,m,w
naxos104,m,y
naxos105,m,o
naxos106,m,w
naxos107,f,y
naxos108,m,o
naxos109,m,w
naxos110,f,o
naxos111,m,o
naxos112,m,y
naxos113,f,y
naxos114,f,y
naxos115,m,y
naxos116,m,o
naxos117,f,y
naxos118,m,o
naxos119,m,y
naxos764,m,w
naxos765,f,w
naxos766,m,w
naxos769,f,y
naxos773,f,w
naxos774,f,y
naxos775,f,w
naxos776,f,w
naxos777,m,w
naxos824,f,w
naxos828,f,w
naxos830,f,w
naxos831,m,w
naxos833,f,y
naxos838,m,y
148,f,w
149,m,w
150,m,w
151,m,w
152,m,w
153,f,w
154,m,y
155,m,w
156,f,y
157,f,w
158,f,w
160,m,y
161,f,w
162,f,w
163,f,w
164,f,w
165,f,w
166,m,w
168,m,w
169,m,w
170,f,w
172,m,w
173,m,w
175,m,w
176,f,y
177,m,w
179,f,w
180,m,w
181,m,w
182,m,w
183,f,w
184,m,y
185,m,y
186,f,w
187,m,y
188,m,w
190,f,w
191,m,w
192,f,w
193,f,w
194,f,w
195,m,w
196,f,w
197,m,w
199,m,w
200,m,w
201,m,o
202,m,w
203,f,w
338,m,w
339,m,w
340,m,y
341,m,w
342,m,w
343,m,w
344,f,w
345,m,w
346,m,y
348,m,y
349,m,w
351,f,y
352,m,y
353,f,w
354,m,w
356,m,w
357,f,y
358,m,w
384,f,w
385,f,o
386,m,w
388,f,o
390,m,o
391,m,o
393,f,y
394,m,w
395,m,w
398,m,y
399,f,y
1000,m,w
400,m,o
401,m,o
404,m,y
406,m,w
407,m,w
408,m,o
409,m,y
410,m,w
411,m,w
413,m,w
414,m,w
416,f,w
418,m,y
420,m,o
421,f,y
422,m,y
423,f,y
427,f,y
428,f,w
429,f,o
430,m,w
431,f,w
432,f,w
433,f,o
436,m,w
438,m,o
439,m,w
440,m,o
442,m,w
444,m,w
445,m,o
446,f,w
447,m,w
450,f,w
452,f,w
453,m,w
454,m,w
455,m,y
456,m,y
457,m,w
458,f,w
459,m,o
460,m,o
461,m,w
462,m,y
463,m,w
464,m,w
465,m,w
466,m,w
467,m,w
468,m,w
469,m,w
470,m,w
471,m,w
472,f,w
473,m,w
474,f,w
475,m,w
476,m,w
477,f,w
478,m,w
479,m,w
480,m,w
481,m,w
482,f,w
483,m,w
484,m,w
485,m,y
487,m,o
488,m,w
489,m,w
491,f,y
492,m,w
493,m,w
494,m,o
495,f,w
496,m,w
517,m,y
518,m,w
519,m,w
520,m,y
521,m,w
522,m,y
523,f,w
524,m,w
525,m,w
526,f,w
527,m,w
528,f,y
529,m,y
530,f,w
531,m,y
532,m,w
533,m,y
536,f,y
538,m,w
539,m,o
541,m,w
542,f,y
543,f,w
545,m,y
546,f,o
547,m,w
550,m,w
551,m,y
552,f,y
554,m,w
556,m,y
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
