ISLAND,ISLAND ID,KB ID #,BAG ID,YEAR,DATE,morph,sex,substrate_type,Distance to refuge (cm),# refugia,Nearest refuge type,Perch height,% open ground,% shrub cover,% herbaceous veg,% tree cover,% stream,Nearest veg height (cm),Nearest veg type,"Light (1,2,3)","Particle size (1,2,3)",% RHumidity,Air temp,Twig width,General Notes,gps_lat,gps_long,elevation_m
naxos,1,,A1,2022,2022.05.19,o,m,,,,,,,,,,,,,,,,,,,,,
naxos,2,,A2,2022,2022.05.19,y,m,,,,,,,,,,,,,,,,,,,,,
naxos,3,,A3,2022,2022.05.19,w,m,,,,,,,,,,,,,,,,,,,,,
naxos,4,,A4,2022,2022.05.19,y,m,,,,,,,,,,,,,,,,,,,,,
naxos,5,,B1,2022,2022.05.20,y,m,grass,1,1,grass,0,90,0,10,0,0,15,grass,1,1,40,18.1,,,,,
naxos,6,KB641,A5,2022,2022.05.20,y,m,stone wall,3,many wall,wall,15,85,2,10,0,0,18,herb veg,2,3,42.8,17.6,,,,,
naxos,7,,B2,2022,2022.05.20,o,m,dirt,10,many wall,wall,0,10,0,80,10,0,10,herb veg,3,1,39.8,20.9,,,,,
naxos,8,,B4,2022,2022.05.20,w,f,dirt,0,many wall,wall,25,20,20,60,0,0,50,shrub,2,1,33,22.5,,,,,
naxos,9,,B6,2022,2022.05.20,o,m,dirt,0,many wall,wall,67,40,0,60,0,0,2,hv,2,1,35.8,20,,,,,
naxos,10,,B3,2022,2022.05.20,y,f,dirt,4,2,herb veg,0,40,10,40,0,0,50,herb veg,2,1,33.4,20.9,,,,,
naxos,11,,B5,2022,2022.05.20,w,f,tree,15,3,herb veg,4,30,0,30,40,0,tree 15ft,tree,1,3,34.5,24.6,,,,,
naxos,12,KB643,A7,2022,2022.05.20,wy,m,stone wall,0,many wall,wall,20,50,0,50,0,0,61,herb veg,1,3,31.8,24,,,,,
naxos,13,KB644,A8,2022,2022.05.20,o,m,stone wall,2,many wall,wall,15,50,0,50,0,0,78,herb veg,1,3,32,23.5,,,,,
naxos,14,,B5,2022,2022.05.20,yo,m,stone wall,0,many wall,wall,3,10,80,10,0,0,27,shrub,2,3,33.5,23.9,,,,,
naxos,15,,A9,2022,2022.05.20,y,m,stone wall,3,many wall,wall,28,50,0,50,0,0,70,herb veg,1,3,32.8,22.6,,,,,
naxos,16,,B7,2022,2022.05.20,o,m,stone wall,10,many wall,wall,52,10,0,90,0,0,50,herb veg,2,3,37.5,20.9,,,,,
naxos,17,,B8,2022,2022.05.20,o,f,stone wall,12,many wall,herb veg,0,15,10,75,0,0,51,herb veg,3,3,40.8,18.8,,,,,
