island,island_id,kb_id,bag_id,sex,gravid,morph,capture_temp,substrate_temp,time_of_capture,scars,ticks,mites,mass,svl,head_length,head_width,head_depth,bicep_length,forearm_length,hand_finger_length,femur_length,tibia_length,toe,autotomy,total % veg cover,% RHumidity,Air temp,% shrub cover,% herbaceous veg,% tree cover
naxos,1,,A1,m,na,o,22.4,28.5,8:40,0,1,15,6.9,63.34,17.24,9.45,7.81,6.46,7.39,8.1,12.74,10.5,16.72,0,,,,,,
naxos,2,,A2,m,na,y,,,8:45,,,,8.7,55.82,15.88,8.22,6.09,5.84,5.84,7.35,11.95,10.02,16.7,,,,,,,
naxos,3,,A3,m,na,w,,,9:15,0,1,0,6.7,65.89,18.12,10.1,7.62,7.02,7.11,8.26,14.24,11.7,17.7,1,,,,,,
naxos,4,,A4,m,na,y,19.2,29.1,9:25,2,10,0,9.1,58.63,16.35,8.43,6.87,6.84,6.86,7.13,12.39,10.87,16.14,0,,,,,,
naxos,5,,A5,m,na,y,18.3,20.1,8:26,0,0,0,8.1,63.54,17.3,9.49,7.92,6.55,6.58,8,12.79,10.64,16.83,1,10,40,18.1,0,10,0
naxos,6,,A6,m,na,y,18.7,22.7,9:48,,,,5.8,64.69,15.54,8.12,6.66,6.91,6.76,7.98,9.88,10.16,15.59,,12,42.8,17.6,2,10,0
naxos,7,,A7,m,na,o,18.5,22,10:18,,,,6.1,65.75,17.97,9.09,7.64,6.9,7.34,8.52,14.5,11.11,17.96,,90,39.8,20.9,0,80,10
naxos,8,,A8,f,y,w,25.3,27.2,10:27,5,0,0,6.3,66.87,15.87,8.22,7.16,6.12,5.98,7.21,10.62,8.91,14.97,1,80,33,22.5,20,60,0
naxos,9,,A9,m,na,o,23.5,31.2,10:37,3,4,0,7.8,63.48,15.07,7.83,6.55,5.94,6.11,7.22,10.36,9.83,14.47,1,60,35.8,20,0,60,0
naxos,10,,B1,f,y,y,19.1,18.3,8:50,10,0,0,7.4,64.99,17.39,9.45,7.55,6.53,6.81,8.25,13.35,10.15,17.39,,50,33.4,20.9,10,40,0
naxos,11,,B2,f,y,w,16.1,35.5,9:21,3,0,0,6.4,63.88,17.98,9.98,7.4,7.16,7.46,8.59,13.65,11.5,17.46,1,70,34.5,24.6,0,30,40
naxos,12,,B3,m,na,wy,18.3,29.5,9:43,,,,3.8,65.61,17.4,9.95,7.67,6.61,6.8,8.04,14.77,11.3,16.86,,50,31.8,24,0,50,0
naxos,13,,B4,m,na,o,19.2,24.3,9:52,9,2,0,7.7,64.88,15.9,8,6.39,6.89,6.29,7.3,12.3,9.6,15.1,0,50,32,23.5,0,50,0
naxos,14,,B5,m,na,yo,13.8,25,10:04,1,0,0,7.7,62.03,15.41,7.33,6.21,5.88,5.99,7.19,10.65,9.1,14.75,0,90,33.5,23.9,80,10,0
naxos,15,,B6,m,na,y,16.1,32.5,10:25,2,0,0,7.9,65.89,14.88,7.56,6.53,5.92,6,7.02,11.26,10.16,13.68,1,50,32.8,22.6,0,50,0
naxos,16,,B7,m,na,o,15.2,27.7,10:40,4,4,0,7.8,62.03,17.59,8.95,7.97,6.33,6.93,8,13.41,10.68,17.17,1,90,37.5,20.9,0,90,0
naxos,17,,B8,f,y,o,21.5,28.8,10:52,4,0,0,6.2,57.79,16.3,8.45,6.98,6.88,6.53,7.21,12.45,10.96,16.28,0,85,40.8,18.8,10,75,0
naxos,18,,D6,f,n,w,26.5,37.9,10:35,4,2,0,5.3,57.8,14.1,7.45,6.5,5.87,6.11,7.29,10.79,9.57,14.99,1,0,31.6,31,0,0,0
naxos,19,,C8,f,y,w,28.9,29.3,9:12,9,3,12,5.2,64.07,17.2,8.92,7.75,7.35,7.44,7.82,14.72,11.11,17.28,1,10,33.5,25.3,0,10,0
naxos,20,,D8,m,na,w,31.9,35.1,10:50,8,0,0,7.3,62.43,17.98,10.55,8.67,7.21,7.49,8.17,14.21,11.47,16.99,1,25,27.4,32,0,25,0
naxos,21,,D1,m,na,w,21,31,8:40,9,0,0,5.6,60.86,16.33,9.8,7.79,6.99,7.39,8.34,13.74,10.83,17.63,1,40,38.5,22.4,0,0,40
naxos,22,,E2,m,na,w,30.2,33,8:45,3,0,0,7.6,66.36,17.55,9.78,7.79,7.63,7.59,7.96,13.53,11.11,17.4,1,90,33.9,26,0,90,0
naxos,23,,D3,f,n,y,27.3,33,9:15,5,21,0,4.5,62.43,17.23,9.44,8.2,7.96,7.5,8.32,13.5,11.35,17.7,1,60,34,24.6,0,10,50
naxos,24,,E1,m,Na,y,29.9,,10:20,0,4,0,7.5,61.57,16.7,10.17,8.23,6.42,7.05,8.26,13.64,11.07,16.79,0,60,33.8,24.9,0,10,50
