sex,gravid,morph,capture_temp,substrate_temp,scars,ticks,mites,mass,svl,head_length,head_width,head_depth,bicep_length,forearm_length,hand_finger_length,femur_length,tibia_length,toe,autotomy,substrate_type
1,,o,22.4,28.5,0,1,15,6.9,63.34,17.24,9.45,7.81,6.46,7.39,8.1,12.74,10.5,16.72,0,
1,,w,29.3,30.6,0,1,0,6.7,55.82,15.88,8.22,6.09,5.84,5.84,7.35,11.95,10.02,16.7,1,
1,,y,19.2,29.1,2,10,0,9.1,66.86,18.99,9.35,7.71,8.26,7.97,8.29,14.48,13.03,0,0,
1,,y,18.3,20.1,0,0,0,8.1,65.89,18.12,10.1,7.62,7.02,7.11,8.26,14.24,11.7,17.7,1,
1,,y,18.7,22.7,1,0,0,5.8,58.63,16.35,8.43,6.87,6.84,6.86,7.13,12.39,10.87,16.14,0,
1,,o,18.5,22,7,8,19,6.1,63.54,17.3,9.49,7.92,6.55,6.58,8,12.79,10.64,16.83,1,
0,y,w,25.3,27.2,5,0,0,6.3,64.69,15.54,8.12,6.66,6.91,6.76,7.98,9.88,10.16,15.59,1,
1,,o,23.5,31.2,3,4,0,7.8,65.75,17.97,9.09,7.64,6.9,7.34,8.52,14.5,11.11,17.96,1,
0,y,y,19.1,18.3,10,0,0,7.4,66.87,15.87,8.22,7.16,6.12,5.98,7.21,10.62,8.91,14.97,0,
0,y,w,16.1,35.5,3,0,0,6.4,63.48,15.07,7.83,6.55,5.94,6.11,7.22,10.36,9.83,14.47,1,
1,,o,19.2,24.3,9,2,0,7.7,64.99,17.39,9.45,7.55,6.53,6.81,8.25,13.35,10.15,17.39,0,
1,,y,16.1,32.5,2,0,0,7.9,63.88,17.98,9.98,7.4,7.16,7.46,8.59,13.65,11.5,17.46,1,
1,,o,15.2,27.7,4,4,0,7.8,65.61,17.4,9.95,7.67,6.61,6.8,8.04,14.77,11.3,16.86,1,
0,y,o,21.5,28.8,4,0,0,6.2,64.88,15.9,8,6.39,6.89,6.29,7.3,12.3,9.6,15.1,0,
0,n,w,26.5,37.9,4,2,0,5.3,62.03,15.41,7.33,6.21,5.88,5.99,7.19,10.65,9.1,14.75,1,
0,y,w,28.9,29.3,9,3,12,5.2,65.89,14.88,7.56,6.53,5.92,6,7.02,11.26,10.16,13.68,1,
1,,w,31.9,35.1,8,0,0,7.3,62.03,17.59,8.95,7.97,6.33,6.93,8,13.41,10.68,17.17,1,
1,,w,21,31,9,0,0,5.6,57.79,16.3,8.45,6.98,6.88,6.53,7.21,12.45,10.96,16.28,1,
1,,w,30.2,33,3,0,0,7.6,63.78,17.45,9.19,7.43,6.91,7.47,8.54,12.48,11.09,0,1,
0,n,y,27.3,33,5,21,0,4.5,57.8,14.1,7.45,6.5,5.87,6.11,7.29,10.79,9.57,14.99,1,
1,,y,29.9,35.2,0,4,0,7.5,64.07,17.2,8.92,7.75,7.35,7.44,7.82,14.72,11.11,17.28,0,
1,,y,33.1,30.2,1,7,0,7,62.43,17.98,10.55,8.67,7.21,7.49,8.17,14.21,11.47,16.99,1,
1,,o,22.9,21.5,3,0,0,7.6,60.86,16.33,9.8,7.79,6.99,7.39,8.34,13.74,10.83,17.63,0,
1,,y,33.9,28.4,2,5,18,8,66.36,17.55,9.78,7.79,7.63,7.59,7.96,13.53,11.11,17.4,1,
1,,o,25.2,22.4,3,14,0,7,62.43,17.23,9.44,8.2,7.96,7.5,8.32,13.5,11.35,17.7,1,
1,,w,28.6,37.8,8,2,10,7.3,61.57,16.7,10.17,8.23,6.42,7.05,8.26,13.64,11.07,16.79,0,
0,y,w,33.4,18.8,5,2,0,6.8,67.15,14.63,7.7,6.43,6.71,6.11,7.33,10.51,9.57,14.28,1,
1,,o,22.2,22.4,2,1,63,7.9,62.3,18.13,9.5,7.7,6.52,7.14,8.46,14.57,12,17.17,1,
1,,w,32.4,22.9,0,5,0,3.8,54.31,14.64,7.64,6.49,6.02,6.57,7.45,10.64,9.67,15.33,1,
1,,w,23.1,22.5,0,3,0,4.4,61.06,15.07,8,6.62,5.45,5.48,7.6,11.47,9.05,14.7,1,
1,,o,16.1,20.4,1,2,0,8.1,62.07,18.07,10.12,8.22,6.9,7.09,7.83,14.81,11.19,18.08,0,
1,,w,28.2,29.4,2,1,0,4.3,52.19,14.63,7.9,6.8,5.75,5.77,7.32,11.81,10.33,14.92,0,
1,,o,29.4,18.4,2,11,0,9.1,67.1,17.88,10.15,8.53,7.01,7.69,9.01,15.43,12.4,17.8,0,
0,y,o,33.5,19,13,1,0,7.6,64.83,15.17,7.77,6.66,6.35,6.32,6.8,13.95,9.71,14.37,0,
1,,w,29.9,16.3,17,1,0,7.9,65.57,17.24,9.56,7.21,7.21,7.37,8.21,14.14,11.08,0,1,
1,,o,33.9,22.6,2,18,0,9.3,63.31,17.54,9.46,7.93,6.61,7.14,8.13,14.41,11.4,16.33,1,
0,y,o,26,21.5,3,10,0,6.9,69.13,15.59,7.46,6.36,6.3,6.39,7.43,11.83,10.05,14.43,0,
1,,w,31.1,24.3,9,0,0,9.2,66.1,17.68,9.04,7.84,7.09,7.14,8.44,15.5,12.12,18.28,1,
1,,w,30.3,29,13,3,0,6.6,60.73,16.54,8.38,9.33,7.85,6.49,6.96,7.96,13.22,7.63,1,
1,,w,30.3,30.3,6,3,0,4.1,52.54,14.11,7.06,5.78,5.5,6.11,7.13,11.11,8.86,15.16,1,
1,,w,28.8,26.3,4,10,0,9,64.05,18.15,10.08,8.09,7.03,7.46,8.52,14.58,12.68,17.89,1,
0,y,w,27.6,24.8,7,1,0,7.7,59.18,14.03,7.24,6.07,5.17,5.8,7.01,11.69,9.53,13.83,0,
1,,o,22.4,34.7,10,8,0,7,67.07,18.15,9.78,8.15,8.28,7.92,8.18,14,12.07,18.3,1,
1,,w,30,28.6,4,5,0,5.9,59.55,15.36,7.84,6.97,6.54,6.5,8.48,13.58,10.69,16.53,1,
1,,o,30.9,25.9,2,32,23,10.8,72.26,19.72,10.3,8.83,7.2,7.28,9.23,14.73,12.82,18.44,1,
1,,w,31.6,27.6,0,0,0,10.1,64.81,18.08,9.73,8.2,7.25,7.47,9.06,12.97,11.97,17.76,1,
